,Doc Title,Len_char,Len_word,Output,Sent
7,81363,231.0,30.0,['communities tackle root'],"  Getting  to  Carbon 
Neutral:  A  Guide  for  Canadian  Municipalities,  commissioned 
by  Toronto  and  Region  Conservation  (TRCA),  demonstrates 
how communities around the world are tackling the root cause 
of climate change"
24,81363,204.0,30.0,['response spur advances']," A 
well-crafted response to climate change will spur technological advances, create new sources of employment 
and stimulate the economic growth needed to propel us forward into a more sustainable future"
2940,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,158.0,22.0,['adaptation require changes']," 

Climate change adaptation may require changes to existing policies and programs, and, in some cases, development of new policies 
and management approaches"
2941,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,222.0,29.0,['climate change adaptation']," Rather than dealing with adaptation in isolation from other management decisions or other factors, it 
is  important to  integrate (or  mainstream)  climate change  adaptation  into ongoing  planning  and  decision-making"
2954,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,263.0,36.0,['adaptation require understanding'],"  

Mainstreaming climate change adaptation requires an understanding of the known and potential impacts of climate change and the 
corresponding  vulnerability  of,  and  risks  to,  ecosystems  and  the  people  who  rely  on  them  for  health  and  well-being"
2988,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,688.0,73.0,"['MNR take forms', 'MNR take formsAdaptation take forms', 'impacts occur Activities']","0) 

 

 

   12 

Flooding in Peterborough, 2004 [MNR] 

 

 

Adaptation can take many forms, anywhere along the spectrums below:  

 

Anticipatory    
 
Activities that are taken before impacts are observed 
 

 

 

 

 

 

 

 

 

 

 

Planned  

 

 

 

 

Deliberate actions aimed at adaptation 
 

 

 

 

 

 

 

 
 

 

 
  

 

 

 

 

Reactive 

Activities that are taken after impacts have occured 

Autonomous 

Activities to spontaneously cope with climate impacts 

 

Anticipatory  and  planned  ecosystem-based  adaptation  measures  that  use  a  range  of  opportunities  for  sustainable 
management, conservation, and restoration are the focus of this guide"
2995,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,583.0,79.0,['assessments support planning']," Vulnerability assessments can support adaptation planning in many ways:  

 

 

 

 Identify species and/or ecosystems 
most likely to be most impacted by 
projected changes in climate;  

 Build an understanding of why these 

species and/or ecosystems are 
vulnerable, including the interaction 
between climate change, non-climatic 
stressors, and cumulative impacts;  

 Assess the efficacy of previous coping 
strategies in the context of historic and 
current changes in climate; and 

 Identify and target adaptation measures 

to systems with the greatest 
vulnerabilty"
3031,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,127.0,21.0,['We know magnitude']," We don’t know the absolute magnitude of climate change 
and its potential effects or how systems may exactly respond to change"
3036,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,250.0,37.0,['framework comprise series'],"0 A CLIM ATE CHANGE   ADAPTATION FRAMEWORK FOR ECOSYSTEMS 

A climate change adaptation framework (Figure 2) comprises a series of  steps that serve as a roadmap for practitioners seeking to 
mainstream climate change into natural resource management"
3043,A Practitioners Guide to ClimateChange Adaptation in Ontario's Ecosystems Ver 1 2011,195.0,26.0,['we use management']," Uncertainty about future greenhouse gas emissions and the spatial distribution of climate change effects requires that 
we  use  a  dynamic  and  ongoing  approach  through  adaptive  management"
